# Time (s),Acceleration (g)
9.19000000,-0.01679275
9.20000000,-0.01681085
9.21000000,-0.01679533
9.22000000,-0.01678305
9.23000000,-0.01677465
9.24000000,-0.01676236
9.25000000,-0.01674297
9.26000000,-0.01671323
9.27000000,-0.01669771
9.28000000,-0.01672810
9.29000000,-0.01678046
9.30000000,-0.01680826
9.31000000,-0.01679598
9.32000000,-0.01676947
9.33000000,-0.01675719
9.34000000,-0.01676947
9.35000000,-0.01680115
9.36000000,-0.01681796
9.37000000,-0.01679986
9.38000000,-0.01676883
9.39000000,-0.01673262
9.40000000,-0.01670741
9.41000000,-0.01671193
9.42000000,-0.01672422
9.43000000,-0.01673650
9.44000000,-0.01676236
9.45000000,-0.01678952
9.46000000,-0.01679404
9.47000000,-0.01677012
9.48000000,-0.01674555
9.49000000,-0.01675654
9.50000000,-0.01677917
9.51000000,-0.01677788
9.52000000,-0.01676430
9.53000000,-0.01675784
9.54000000,-0.01676430
9.55000000,-0.01677465
9.56000000,-0.01677465
9.57000000,-0.01677400
9.58000000,-0.01677077
9.59000000,-0.01674297
9.60000000,-0.01670417
9.61000000,-0.01669383
9.62000000,-0.01671840
9.63000000,-0.01675654
9.64000000,-0.01679469
9.65000000,-0.01682055
9.66000000,-0.01682766
9.67000000,-0.01681926
9.68000000,-0.01679145
9.69000000,-0.01675460
9.70000000,-0.01674361
9.71000000,-0.01675590
9.72000000,-0.01676495
9.73000000,-0.01676430
9.74000000,-0.01674038
9.75000000,-0.01669771
9.76000000,-0.01667831
9.77000000,-0.01670417
9.78000000,-0.01675913
9.79000000,-0.01681861
9.80000000,-0.01684835
9.81000000,-0.01682960
9.82000000,-0.01678887
9.83000000,-0.01675978
9.84000000,-0.01673004
9.85000000,-0.01669771
9.86000000,-0.01669642
9.87000000,-0.01673909
9.88000000,-0.01678887
9.89000000,-0.01680245
9.90000000,-0.01678564
9.91000000,-0.01676236
9.92000000,-0.01674684
9.93000000,-0.01674878
9.94000000,-0.01676559
9.95000000,-0.01678434
9.96000000,-0.01679016
9.97000000,-0.01676883
9.98000000,-0.01673327
9.99000000,-0.01671840
10.00000000,-0.01673650
10.01000000,-0.01676236
10.02000000,-0.01677335
10.03000000,-0.01677852
10.04000000,-0.01678305
10.05000000,-0.01678176
10.06000000,-0.01677917
10.07000000,-0.01676947
10.08000000,-0.01675331
10.09000000,-0.01673521
10.10000000,-0.01671840
10.11000000,-0.01673391
10.12000000,-0.01678176
10.13000000,-0.01681667
10.14000000,-0.01681602
10.15000000,-0.01677917
10.16000000,-0.01672939
10.17000000,-0.01670030
10.18000000,-0.01669771
10.19000000,-0.01672034
10.20000000,-0.01676042
10.21000000,-0.01679469
10.22000000,-0.01681150
10.23000000,-0.01681344
10.24000000,-0.01679921
10.25000000,-0.01677077
10.26000000,-0.01674426
10.27000000,-0.01672616
10.28000000,-0.01672810
10.29000000,-0.01676624
10.30000000,-0.01680891
10.31000000,-0.01681020
10.32000000,-0.01678887
10.33000000,-0.01677465
10.34000000,-0.01676301
10.35000000,-0.01674361
10.36000000,-0.01672486
10.37000000,-0.01672098
10.38000000,-0.01673068
10.39000000,-0.01673973
10.40000000,-0.01674361
10.41000000,-0.01675460
10.42000000,-0.01678822
10.43000000,-0.01683348
10.44000000,-0.01683800
10.45000000,-0.01679792
10.46000000,-0.01676689
10.47000000,-0.01675654
10.48000000,-0.01676495
10.49000000,-0.01679986
10.50000000,-0.01681667
10.51000000,-0.01680309
10.52000000,-0.01678628
10.53000000,-0.01675137
10.54000000,-0.01670999
10.55000000,-0.01669189
10.56000000,-0.01670094
10.57000000,-0.01674491
10.58000000,-0.01679469
10.59000000,-0.01680503
10.60000000,-0.01678499
10.61000000,-0.01676365
10.62000000,-0.01674620
10.63000000,-0.01673327
10.64000000,-0.01675008
10.65000000,-0.01680180
10.66000000,-0.01684706
10.67000000,-0.01685805
10.68000000,-0.01683671
10.69000000,-0.01679404
10.70000000,-0.01674878
